PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME
0,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,"San Juan, PR",15027,STX,"Christiansted, VI"
0,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,"San Juan, PR",15626,VQS,"Vieques, PR"
0,"Air Charter, Inc d/b/a Air Flamenco",15024,STT,"Charlotte Amalie, VI",15027,STX,"Christiansted, VI"
0,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,"Christiansted, VI",15024,STT,"Charlotte Amalie, VI"
0,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,"Vieques, PR",11126,CPX,"Culebra, PR"
0,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,"Vieques, PR",15024,STT,"Charlotte Amalie, VI"
0,Air China,10299,ANC,"Anchorage, AK",12478,JFK,"New York, NY"
0,Air China,10299,ANC,"Anchorage, AK",13930,ORD,"Chicago, IL"
0,Air Excursions LLC,12171,HNH,"Hoonah, AK",11997,GST,"Gustavus, AK"
0,Air Excursions LLC,12523,JNU,"Juneau, AK",11997,GST,"Gustavus, AK"
0,Air Hamburg Luftverkehrsgesellschaft mbH,12896,LBB,"Lubbock, TX",10519,BCT,"Boca Raton, FL"
0,Air Hamburg Luftverkehrsgesellschaft mbH,13898,OPF,"Miami, FL",15167,TEB,"Teterboro, NJ"
0,Air Hamburg Luftverkehrsgesellschaft mbH,14831,SJC,"San Jose, CA",11789,FTW,"Dallas/Fort Worth, TX"
0,Air Hamburg Luftverkehrsgesellschaft mbH,15167,TEB,"Teterboro, NJ",12264,IAD,"Washington, DC"
0,Air Hamburg Luftverkehrsgesellschaft mbH,15167,TEB,"Teterboro, NJ",13204,MCO,"Orlando, FL"
0,Air Hamburg Luftverkehrsgesellschaft mbH,15167,TEB,"Teterboro, NJ",13898,OPF,"Miami, FL"
0,Air Transport International,10135,ABE,"Allentown/Bethlehem/Easton, PA",10821,BWI,"Baltimore, MD"
0,Air Transport International,10135,ABE,"Allentown/Bethlehem/Easton, PA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10135,ABE,"Allentown/Bethlehem/Easton, PA",12324,ILN,"Wilmington, OH"
0,Air Transport International,10135,ABE,"Allentown/Bethlehem/Easton, PA",14691,SBD,"San Bernardino, CA"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",10529,BDL,"Hartford, CT"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",10693,BNA,"Nashville, TN"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",10821,BWI,"Baltimore, MD"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",12478,JFK,"New York, NY"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",12882,LAL,"Lakeland, FL"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",13198,MCI,"Kansas City, MO"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",13296,MHT,"Manchester, NH"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",14057,PDX,"Portland, OR"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",14107,PHX,"Phoenix, AZ"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",14512,RFD,"Rockford, IL"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",14747,SEA,"Seattle, WA"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",14893,SMF,"Sacramento, CA"
0,Air Transport International,10194,AFW,"Dallas/Fort Worth, TX",15295,TOL,"Toledo, OH"
0,Air Transport International,10299,ANC,"Anchorage, AK",11884,GEG,"Spokane, WA"
0,Air Transport International,10299,ANC,"Anchorage, AK",14057,PDX,"Portland, OR"
0,Air Transport International,10397,ATL,"Atlanta, GA",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10397,ATL,"Atlanta, GA",12324,ILN,"Wilmington, OH"
0,Air Transport International,10423,AUS,"Austin, TX",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10423,AUS,"Austin, TX",12324,ILN,"Wilmington, OH"
0,Air Transport International,10423,AUS,"Austin, TX",12882,LAL,"Lakeland, FL"
0,Air Transport International,10423,AUS,"Austin, TX",14691,SBD,"San Bernardino, CA"
0,Air Transport International,10423,AUS,"Austin, TX",14730,SDF,"Louisville, KY"
0,Air Transport International,10529,BDL,"Hartford, CT",11193,CVG,"Cincinnati, OH"
0,Air Transport International,10529,BDL,"Hartford, CT",12324,ILN,"Wilmington, OH"
0,Air Transport International,10693,BNA,"Nashville, TN",10194,AFW,"Dallas/Fort Worth, TX"
0,Air Transport International,10693,BNA,"Nashville, TN",14533,RIV,"Riverside, CA"
